src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
6624,8029,18,4798,156,0,54,156,true,
385,1005,4,1157,41,0,39,41,true,
2695,2295,17,4814,177,0,60,177,true,
8617,2142,33,8789,225,0,40,225,true,
6865,3295,6,1861,86,0,53,86,true,
5990,2146,33,8565,205,1,76,205,true,
4791,8398,37,9661,220,0,47,220,true,
2572,8403,7,2131,65,0,38,65,true,
2466,5542,30,7827,174,0,72,174,true,
472,8607,27,6602,118,0,47,118,true,
4458,1557,14,4032,181,0,69,181,true,
4274,9568,37,9829,219,0,53,219,true,
4442,8861,19,5211,139,0,63,139,true,
9527,2547,11,3113,136,0,59,136,true,
4715,1891,10,3122,120,0,70,120,true,
6554,3876,22,6720,199,0,63,199,true,
4803,6669,24,7599,189,0,80,189,true,
1507,8583,32,9865,213,0,51,213,true,
4446,8504,22,6807,171,0,77,171,true,
6132,2260,14,4739,208,0,51,208,true,
9589,8622,28,8894,291,0,63,291,true,
3326,4608,23,7304,177,0,47,177,true,
2634,7696,2,980,56,0,38,56,true,
6589,1134,8,2663,90,0,64,90,true,
9774,265,8,2756,131,0,74,131,true,
2232,5270,11,3464,84,0,52,84,true,
236,5217,28,8431,138,0,64,138,true,
8849,1366,12,3891,135,0,65,135,true,
7401,8700,28,8972,276,0,52,276,true,
2375,9402,17,5202,103,0,68,103,true,
3048,8033,14,4272,93,0,41,93,true,
7873,5717,0,46,17,0,15,17,true,
8225,7636,25,7816,203,0,40,203,true,
1487,9743,29,8828,151,0,53,151,true,
5320,456,2,874,93,0,57,93,true,
3048,9840,11,3551,82,0,38,82,true,
109,9378,31,9139,138,0,61,138,true,
2486,7136,27,8516,162,0,67,162,true,
9320,9919,3,1203,86,0,40,86,true,
3401,7842,30,9785,237,0,52,237,true,
570,3802,16,4960,110,0,75,110,true,
1853,2053,11,3744,104,0,54,104,true,
2371,6749,4,1356,46,0,42,46,true,
8230,5070,20,6425,180,0,67,180,true,
4053,9803,21,6779,145,0,40,145,true,
2985,2087,1,614,35,0,27,35,true,
9304,5365,2,710,97,0,35,97,true,
8425,7414,31,9738,274,0,73,274,true,
830,4706,20,6206,100,0,63,100,true,
6539,6834,27,8773,225,0,80,225,true,
4811,119,6,2084,96,0,47,96,true,
2124,9690,20,6026,118,0,72,118,true,
9019,1918,3,1044,67,0,32,67,true,
8008,3366,4,1403,82,0,32,82,true,
3168,2707,8,2883,117,0,44,117,true,
2845,6359,6,2009,75,0,31,75,true,
5080,4145,24,7653,188,0,70,188,true,
6735,7784,13,4094,113,0,56,113,true,
4773,7462,25,8001,246,0,59,246,true,
9940,9392,20,6567,188,0,51,188,true,
915,824,0,90,9,0,16,9,true,
5660,9108,23,7152,187,0,48,187,true,
5312,1546,7,2291,83,0,34,83,true,
7171,7398,26,8334,209,0,56,209,true,
9213,7426,25,7844,211,0,46,211,true,
9899,4672,13,4626,189,0,58,189,true,
5370,8238,1,331,33,0,21,33,true,
1460,7415,31,9739,203,0,78,203,true,
7920,4853,19,6159,176,0,49,176,true,
1921,1467,0,140,13,0,28,13,true,
8477,7844,31,9787,278,0,66,278,true,
2735,8403,29,8742,176,0,55,176,true,
595,9180,27,8173,138,0,82,138,true,
2335,6193,21,7068,210,0,55,210,true,
5478,578,10,3302,127,0,77,127,true,
6672,4606,25,8009,206,0,62,206,true,
3557,1792,22,7184,178,0,50,178,true,
23,140,0,152,14,0,9,14,true,
9487,6242,17,5604,172,0,72,172,true,
3667,6878,15,4882,131,0,70,131,true,
7592,4751,3,1134,57,0,53,57,true,
1746,6174,4,1561,48,0,33,48,true,
5634,3380,15,5065,150,0,47,150,true,
6423,8511,4,1484,72,0,41,72,true,
6518,529,16,5408,161,0,35,161,true,
4592,1958,10,3568,120,0,60,120,true,
4181,7819,5,1636,54,0,44,54,true,
4508,6829,17,5522,162,0,58,162,true,
8454,1888,11,3937,150,0,71,150,true,
8711,6551,0,104,21,0,22,21,true,
2406,1971,14,4555,135,0,42,135,true,
1400,4510,25,7553,124,0,54,124,true,
8464,4999,4,1589,86,0,35,86,true,
6103,5101,30,9373,238,0,71,238,true,
5533,4162,23,7574,192,0,54,192,true,
5718,4756,9,3139,94,0,50,94,true,
3380,5954,17,5516,153,0,47,153,true,
2829,1135,13,4160,101,0,73,101,true,
2403,6020,2,897,66,0,35,66,true,
1646,4472,30,9352,183,0,56,183,true,
