src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
13249,16058,149,17841,365,1,64,365,0,82,365,true,
771,2010,13,1893,59,0,51,59,0,97,59,true,
5390,4591,90,11236,158,1,58,158,1,120,158,true,
17234,4285,90,10037,224,1,66,224,1,108,224,true,
13730,6591,110,9923,209,1,72,209,1,117,209,true,
11981,4292,13,1600,58,0,30,58,1,63,58,true,
9583,16796,182,18265,348,1,110,348,4,172,348,true,
5145,16807,146,15267,205,0,94,205,1,128,205,true,
4932,11085,81,9328,143,0,91,143,0,87,143,true,
945,17215,111,12991,153,1,88,153,0,104,153,true,
8917,3115,47,5949,112,0,41,112,1,125,112,true,
8548,19137,163,17663,298,1,78,298,1,94,298,true,
8885,17722,89,9730,177,1,87,177,1,102,177,true,
19055,5095,86,8899,262,1,67,262,1,101,262,true,
9431,3782,35,4183,127,0,57,127,1,113,127,true,
13109,7752,105,12175,250,1,107,250,1,143,250,true,
9606,13339,93,10192,198,0,71,198,1,166,198,true,
3015,17166,42,4636,114,1,57,114,1,90,114,true,
8893,17008,8,1235,63,0,37,63,1,74,63,true,
12265,4520,4,416,56,0,25,56,0,46,56,true,
19179,17244,153,16910,359,1,117,359,1,162,359,true,
6653,9217,108,11508,200,1,76,200,4,116,200,true,
5269,15393,137,14268,177,0,75,177,2,188,177,true,
13178,2269,143,15402,256,0,100,256,0,113,256,true,
19548,531,80,8396,198,1,94,198,1,128,198,true,
4464,10540,131,13309,263,0,91,263,1,138,263,true,
472,10435,94,9224,136,0,72,136,1,118,136,true,
17698,2733,13,1570,113,0,33,113,0,82,113,true,
14802,17400,14,1727,80,0,47,80,0,61,80,true,
4750,18805,74,7680,147,2,62,147,1,84,147,true,
6097,16066,58,6057,117,0,68,117,0,95,117,true,
15747,11435,143,14289,350,0,76,350,0,102,350,true,
16451,15272,123,12172,280,1,70,280,1,100,280,true,
2975,19487,206,19385,278,0,61,278,1,120,278,true,
10641,913,34,3519,112,1,47,112,1,68,112,true,
6097,19681,170,15968,224,1,81,224,1,108,224,true,
219,18756,200,18316,196,1,81,196,1,92,196,true,
4972,14273,137,12478,194,0,82,194,1,115,194,true,
18641,19838,196,19525,395,1,90,395,1,116,395,true,
6802,15684,185,15357,244,2,73,244,1,110,244,true,
