src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,ch_priority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
331247,401469,1542,205970,608,22,222,608,17,283,608,true,
19287,50250,437,55865,293,23,125,293,16,175,293,true,
134758,114783,1916,251093,695,23,353,695,14,373,695,true,
430859,107138,2184,286104,896,24,336,896,18,404,896,true,
343251,164793,2794,362588,1079,22,340,1079,13,375,1079,true,
299528,107313,1605,215565,692,15,277,692,20,464,692,true,
239579,419915,1674,231803,880,19,283,880,15,414,880,true,
128638,420187,1867,243744,551,20,354,551,17,411,551,true,
123305,277143,560,80184,432,18,202,432,14,257,432,true,
23630,430384,3457,452250,883,16,230,883,13,256,883,true,
222943,77883,986,128647,421,14,241,421,14,265,421,true,
213704,478448,1404,191867,803,18,246,803,14,296,803,true,
222137,443069,3393,447781,1134,27,275,1134,15,422,1134,true,
476383,127378,823,112492,698,25,304,698,16,372,698,true,
235784,94550,3092,396048,858,18,309,858,18,472,858,true,
327742,193801,3222,422169,1104,13,260,1104,16,465,1104,true,
240158,333486,3574,473942,1040,18,363,1040,14,431,1040,true,
75399,429164,3721,493727,1043,18,370,1043,16,381,1043,true,
222339,425219,3501,451846,1060,18,301,1060,15,401,1060,true,
306628,113006,1293,172824,514,16,242,514,28,347,514,true,
479478,431117,3132,404365,1188,25,364,1188,17,417,1188,true,
166328,230434,3155,404478,849,15,411,849,16,322,849,true,
131745,384835,3200,417119,1077,18,462,1077,14,427,1077,true,
329473,56749,1574,205767,705,14,240,705,16,238,705,true,
488721,13285,935,131448,912,19,351,912,17,463,912,true,
111617,263507,1318,180296,525,17,197,525,22,354,525,true,
11809,260880,2258,299649,664,17,289,664,14,467,664,true,
442450,68335,235,36575,513,24,155,513,16,165,513,true,
370051,435022,3543,468636,1292,16,404,1292,16,372,1292,true,
118768,470127,1461,198997,705,15,230,705,16,279,705,true,
152446,401656,3285,429255,1143,22,428,1143,25,486,1143,true,
393675,285888,1803,232731,839,18,324,839,27,428,839,true,
411279,381823,3419,434749,1190,18,353,1190,14,344,1190,true,
74376,487190,3753,491118,1030,17,329,1030,14,402,1030,true,
266041,22843,1150,155703,757,23,323,757,22,450,757,true,
152429,492025,2079,278000,897,25,350,897,16,441,897,true,
5493,468900,3710,472946,814,24,243,814,20,515,814,true,
124306,356826,3326,421939,949,19,350,949,22,336,949,true,
466042,495959,44,6363,125,16,68,125,12,118,125,true,
170050,392113,3514,457984,1097,14,284,1097,17,293,1097,true,
28542,190129,2224,302092,725,16,285,725,19,405,725,true,
92689,102699,2654,352916,699,14,323,699,16,334,699,true,
118565,337455,3644,471921,1020,20,469,1020,19,530,1020,true,
411528,253512,1819,242538,951,18,321,951,14,357,951,true,
202695,490168,3211,431653,1074,14,434,1074,17,530,1074,true,
149270,104370,2830,375250,798,17,365,798,13,361,798,true,
465225,268276,3315,433325,1202,15,339,1202,23,381,1202,true,
421271,370725,3115,401762,1123,18,358,1123,18,410,1123,true,
41532,235335,1583,209423,501,21,275,501,18,396,501,true,
326955,341749,21,3010,156,23,61,156,15,77,156,true,
240555,5966,1177,158862,465,21,301,465,24,483,465,true,
106240,484528,2744,366410,700,18,268,700,15,338,700,true,
450964,95934,888,122452,609,22,253,609,17,333,609,true,
