running CH on OSM 1
Preprocessing complete. 381 shortcuts added.
Upward Edge from 0 to 2 (ID: 2, Cost: 1)
Upward Edge from 0 to 1 (ID: 0, Cost: 1)
Upward Edge from 1 to 5 (ID: 1083, Cost: 2)
Upward Edge from 1 to 2 (ID: 1081, Cost: 2)
Upward Edge from 2 to 5 (ID: 1421, Cost: 4)
Upward Edge from 2 to 4 (ID: 6, Cost: 1)
Upward Edge from 3 to 5 (ID: 8, Cost: 1)
Upward Edge from 3 to 1 (ID: 5, Cost: 1)
Upward Edge from 4 to 17 (ID: 1592, Cost: 5)
Upward Edge from 4 to 5 (ID: 1591, Cost: 5)
Upward Edge from 5 to 137 (ID: 1695, Cost: 16)
Upward Edge from 5 to 17 (ID: 1687, Cost: 10)
Upward Edge from 6 to 9 (ID: 16, Cost: 1)
Upward Edge from 6 to 4 (ID: 11, Cost: 1)
Upward Edge from 7 to 10 (ID: 18, Cost: 1)
Upward Edge from 7 to 4 (ID: 13, Cost: 1)
Upward Edge from 8 to 11 (ID: 20, Cost: 1)
Upward Edge from 8 to 5 (ID: 15, Cost: 1)
Upward Edge from 9 to 4 (ID: 1084, Cost: 2)
Upward Edge from 10 to 15 (ID: 1091, Cost: 2)
Upward Edge from 10 to 4 (ID: 1086, Cost: 2)
Upward Edge from 11 to 16 (ID: 1093, Cost: 2)
Upward Edge from 11 to 5 (ID: 1088, Cost: 2)
Upward Edge from 12 to 9 (ID: 23, Cost: 1)
Upward Edge from 13 to 15 (ID: 28, Cost: 1)
Upward Edge from 13 to 10 (ID: 25, Cost: 1)
Upward Edge from 14 to 16 (ID: 30, Cost: 1)
Upward Edge from 14 to 11 (ID: 27, Cost: 1)
Upward Edge from 15 to 4 (ID: 1422, Cost: 4)
Upward Edge from 15 to 17 (ID: 32, Cost: 1)
Upward Edge from 16 to 30 (ID: 1429, Cost: 4)
Upward Edge from 16 to 5 (ID: 1424, Cost: 4)
Upward Edge from 17 to 61 (ID: 1796, Cost: 7)
Upward Edge from 17 to 34 (ID: 1789, Cost: 4)
Upward Edge from 18 to 21 (ID: 40, Cost: 1)
