src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,priority_queue,ch_distance,identical
1324,1605,0,108,9,0,14,9,true,
77,201,0,145,13,0,16,13,true,
539,459,1,524,30,0,42,30,true,
1723,428,8,1597,74,0,47,74,true,
1373,659,6,1809,77,0,52,77,true,
1198,429,3,1109,69,0,50,69,true,
958,1679,7,1648,61,0,42,61,true,
514,1680,5,1602,64,0,55,64,true,
493,1108,4,1173,94,0,38,94,true,
94,1721,6,1717,75,0,46,75,true,
891,311,3,902,35,0,20,35,true,
854,1913,7,1992,132,0,38,132,true,
888,1772,3,916,34,0,28,34,true,
1905,509,0,311,56,0,33,56,true,
943,378,3,1156,43,0,54,43,true,
1310,775,5,1528,63,0,41,63,true,
960,1333,5,1152,57,0,50,57,true,
301,1716,5,1706,69,0,40,69,true,
889,1700,3,949,38,0,45,38,true,
1226,452,6,1350,56,0,57,56,true,
1917,1724,5,1885,122,0,43,122,true,
665,921,2,855,45,0,45,45,true,
526,1539,1,434,60,0,25,60,true,
1317,226,6,1645,66,0,33,66,true,
1954,53,5,1601,78,0,47,78,true,
446,1054,4,1250,52,0,42,52,true,
47,1043,4,1060,57,0,49,57,true,
1769,273,4,1145,62,0,41,62,true,
1480,1740,6,1705,77,0,36,77,true,
475,1880,6,1780,66,0,48,66,true,
609,1606,5,1642,80,0,46,80,true,
1574,1143,0,57,11,0,18,11,true,
1645,1527,2,620,33,0,40,33,true,
297,1948,7,1886,76,0,49,76,true,
1064,91,4,1323,52,0,48,52,true,
609,1968,7,1996,116,0,48,116,true,
21,1875,5,1889,87,0,45,87,true,
497,1427,2,843,40,0,36,40,true,
1864,1983,1,325,22,0,19,22,true,
680,1568,7,1438,61,0,40,61,true,
114,760,4,1300,65,0,40,65,true,
370,410,1,410,23,0,34,23,true,
474,1349,3,1030,37,0,38,37,true,
1646,1014,1,338,22,0,37,22,true,
810,1960,4,891,32,0,47,32,true,
597,417,1,562,36,0,41,36,true,
1860,1073,0,166,20,0,23,20,true,
1685,1482,2,635,31,0,40,31,true,
166,941,2,840,45,0,27,45,true,
1307,1366,2,784,64,0,36,64,true,
962,23,5,949,48,0,39,48,true,
424,1938,5,1540,63,0,42,63,true,
1803,383,3,986,56,0,33,56,true,
1601,673,6,1752,84,0,49,84,true,
633,541,0,272,24,0,29,24,true,
569,1271,1,606,36,0,32,36,true,
1016,829,1,353,18,0,35,18,true,
1347,1556,2,758,27,0,41,27,true,
954,1492,0,270,13,0,15,13,true,
1988,1878,1,412,29,0,27,29,true,
183,164,0,22,5,0,15,5,true,
1132,1821,1,374,17,0,21,17,true,
1062,309,4,1055,43,0,40,43,true,
1434,1479,2,841,35,0,37,35,true,
1842,1485,4,1433,85,0,41,85,true,
1979,934,1,373,23,0,42,23,true,
1074,1647,2,866,33,0,36,33,true,
292,1483,5,1303,48,0,42,48,true,
1584,970,1,414,22,0,36,22,true,
384,293,0,299,20,0,37,20,true,
1695,1568,1,350,21,0,35,21,true,
547,1680,4,1633,65,0,58,65,true,
119,1836,7,1709,59,0,46,59,true,
467,1238,1,575,32,0,22,32,true,
1095,115,1,529,46,0,43,46,true,
1334,921,0,221,17,0,30,17,true,
711,358,0,155,20,0,23,20,true,
4,28,0,25,8,0,10,8,true,
1897,1248,2,721,32,0,41,32,true,
733,1375,5,1094,46,0,44,46,true,
1518,950,0,209,18,0,33,18,true,
349,1234,4,1293,92,0,40,92,true,
1126,676,4,1541,54,0,38,54,true,
1284,1702,0,157,12,0,18,12,true,
1303,105,0,263,83,0,26,83,true,
918,391,5,1138,42,0,37,42,true,
836,1563,4,1449,51,0,37,51,true,
901,1365,4,1491,62,0,37,62,true,
1690,377,6,1199,61,0,55,61,true,
1742,1310,0,53,10,0,22,10,true,
481,394,0,16,5,0,11,5,true,
280,902,2,617,31,0,37,31,true,
1692,999,2,775,37,0,35,37,true,
1220,1020,0,210,14,0,29,14,true,
1106,832,1,506,52,0,34,52,true,
1143,951,4,1356,67,0,39,67,true,
676,1190,6,1749,71,0,46,71,true,
565,227,1,549,33,0,42,33,true,
480,1204,3,1049,49,0,38,49,true,
329,894,3,966,82,0,58,82,true,
