src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
132499,160587,294,38964,373,7,96,373,7,164,373,true,
7715,20100,137,18665,221,7,129,221,10,153,221,true,
53903,45913,872,112271,495,7,220,495,8,224,495,true,
172343,42855,647,84805,627,10,192,627,7,222,627,true,
137300,65917,606,80739,399,7,162,399,8,314,399,true,
119811,42925,747,97953,466,10,270,466,8,303,466,true,
95831,167966,665,87645,496,7,174,496,7,176,496,true,
51455,168074,1045,126626,524,8,196,524,9,230,524,true,
49322,110857,992,114334,455,7,166,455,7,206,455,true,
9452,172153,660,81472,422,7,164,422,7,216,422,true,
89177,31153,110,15030,171,7,96,171,10,116,171,true,
85481,191379,1208,145749,658,7,186,658,7,196,658,true,
88854,177227,1652,192442,839,7,199,839,7,214,839,true,
190553,50951,871,111525,638,7,193,638,7,278,638,true,
94313,37820,278,38062,260,11,165,260,8,143,260,true,
131096,77520,1773,155791,771,10,247,771,9,315,771,true,
96063,133394,285,33285,299,7,88,299,8,198,299,true,
30159,171665,1830,192261,687,12,277,687,9,218,687,true,
88935,170087,1042,111113,508,8,124,508,7,184,508,true,
122651,45202,204,24502,182,7,94,182,7,162,182,true,
191791,172446,1192,144824,840,7,148,840,10,286,840,true,
66531,92173,1276,152275,634,7,222,634,7,267,634,true,
52698,153934,1256,151281,610,7,243,610,7,225,610,true,
131789,22699,519,68320,521,10,182,521,7,203,521,true,
195488,5314,822,106919,590,7,181,590,7,271,590,true,
44646,105402,191,25846,199,7,123,199,7,157,199,true,
4723,104352,663,82634,381,7,150,381,10,179,381,true,
176980,27334,207,27213,256,7,147,256,7,185,256,true,
148020,174009,1059,108846,540,12,226,540,8,259,540,true,
47507,188050,1829,198099,763,8,227,763,13,289,763,true,
60978,160662,2057,187456,684,10,181,684,10,246,684,true,
157470,114355,479,49361,465,15,133,465,19,161,465,true,
164511,152729,1633,168733,867,8,297,867,17,367,867,true,
29750,194876,1629,198461,733,7,227,733,8,314,733,true,
106416,9137,275,37040,322,7,139,322,7,189,322,true,
60971,196810,602,78369,404,7,191,404,10,176,404,true,
2197,187560,1407,173839,509,7,179,509,7,261,509,true,
49722,142730,296,40361,311,9,98,311,7,138,311,true,
186416,198383,655,86659,578,7,169,578,10,265,578,true,
68020,156845,645,84270,385,6,135,385,7,160,385,true,
11416,76051,1089,137522,459,10,231,459,7,200,459,true,
37075,41079,4,276,35,6,30,35,6,31,35,true,
47426,134982,399,53252,325,7,162,325,7,164,325,true,
164611,101404,48,7042,164,6,95,164,9,145,164,true,
81078,196067,1584,199301,843,7,178,843,9,226,843,true,
59708,41748,1068,136518,563,7,236,563,7,258,563,true,
186090,107310,128,18576,341,7,156,341,10,186,341,true,
168508,148290,740,94487,606,7,198,606,7,208,606,true,
16613,94134,647,83778,320,9,67,320,7,177,320,true,
130782,136699,1195,152482,794,7,334,794,10,372,794,true,
96222,2386,613,80115,448,7,202,448,9,272,448,true,
42496,193811,1589,198714,699,10,186,699,7,251,699,true,
180385,38373,993,110210,683,9,224,683,13,238,683,true,
160168,67337,469,48555,318,7,171,318,8,262,318,true,
63361,54150,100,11801,154,12,87,154,7,108,154,true,
56903,127195,1273,138733,583,9,233,583,8,259,583,true,
101613,82909,1494,158490,740,9,215,740,8,224,740,true,
134717,155696,1070,117305,650,11,203,650,8,243,650,true,
95462,149253,933,102476,555,8,197,555,9,232,555,true,
198804,187855,1766,196661,955,7,179,955,7,307,955,true,
18304,16488,747,97712,404,10,184,404,7,220,404,true,
113206,182168,1281,164166,747,7,272,747,11,384,747,true,
106247,30921,102,14188,268,7,117,268,7,113,268,true,
143423,147960,3,45,9,9,13,9,6,13,9,true,
184272,148535,1641,184299,889,7,212,889,7,202,889,true,
197980,93454,807,98499,610,7,236,610,7,256,610,true,
107412,164767,1577,189200,808,10,201,808,7,232,808,true,
29207,148315,448,59854,417,7,157,417,10,235,417,true,
158414,97070,1142,145623,810,7,193,810,7,276,810,true,
38420,29345,200,27821,262,10,130,262,7,165,262,true,
169555,156889,1441,182695,898,7,174,898,10,223,898,true,
54705,168072,1307,165058,673,7,184,673,7,229,673,true,
11919,183604,576,74888,370,7,154,370,7,231,370,true,
46708,123865,1401,177827,703,7,232,703,10,266,703,true,
109574,11579,527,69987,355,8,199,355,8,317,355,true,
133440,92123,1143,138865,759,7,258,759,7,306,759,true,
71158,35849,165,22818,229,7,95,229,10,146,229,true,
466,2801,22,3013,78,7,70,78,7,80,78,true,
189757,124857,1466,176907,907,10,278,907,8,419,907,true,
73346,137561,209,28531,215,7,131,215,8,229,215,true,
151854,95024,1234,155599,769,7,205,769,7,186,769,true,
34932,123484,1426,170823,639,10,284,639,7,311,639,true,
112684,67619,201,27889,263,7,138,263,7,179,263,true,
128471,170223,1557,188492,892,7,205,892,7,145,892,true,
130362,10581,821,107574,524,10,211,524,7,239,524,true,
91846,39179,32,4664,131,6,72,131,7,115,131,true,
83636,156382,1482,187778,809,7,237,809,7,295,809,true,
90179,136593,520,69700,356,10,217,356,7,184,356,true,
169098,37766,372,50707,495,7,170,495,7,187,495,true,
174235,131033,444,60592,458,7,194,458,8,304,458,true,
48122,39434,218,29861,278,7,91,278,10,146,278,true,
28002,90209,161,22212,219,6,73,219,7,167,219,true,
169297,99989,119,17147,324,7,157,324,11,210,324,true,
122064,102023,1357,170456,773,7,217,773,7,201,773,true,
110665,83240,1178,144268,715,7,269,715,7,219,715,true,
114361,95134,1132,139121,749,10,212,749,7,218,749,true,
67619,119096,1454,182499,736,7,266,736,10,293,736,true,
56588,22703,534,71167,332,7,162,332,7,194,332,true,
48066,120408,330,44835,327,9,93,327,7,157,327,true,
32939,89452,1145,141612,527,7,193,527,10,228,527,true,
