src,dst,dijkstra_time_ms,priority_queue,dijkstra_distance,ch_time_ms,chpriority_queue,ch_distance,cch_time_ms,cch_priority_queue,cch_distance,identical
662495,802939,8714,921874,1866,79,382,1866,31,364,1866,true,
38575,100501,1918,236616,509,45,218,509,34,299,509,true,
269516,229567,5747,644606,953,42,370,953,41,539,953,true,
861719,214277,3133,348333,1102,58,469,1102,39,716,1102,true,
686502,329587,3010,340429,1051,55,377,1051,32,439,1051,true,
599057,214627,1610,184496,753,43,275,753,28,446,753,true,
479158,839830,8506,924703,1869,53,440,1869,31,527,1869,true,
257277,840374,8958,970772,1507,34,424,1507,31,568,1507,true,
246610,554286,1486,164666,454,32,207,454,30,259,454,true,
47261,860769,7581,840521,1204,47,370,1204,32,464,1204,true,
445886,155766,2217,245046,687,36,297,687,41,418,687,true,
427408,956896,9097,968227,1791,40,419,1791,45,743,1791,true,
444274,886138,7907,848622,1493,36,448,1493,43,610,1493,true,
952767,254756,5177,579738,1741,47,505,1741,30,753,1741,true,
471569,189101,3302,378402,1034,43,408,1034,33,655,1034,true,
655484,387603,1105,126084,697,33,136,697,29,223,697,true,
480316,666973,7930,864534,1759,39,311,1759,30,563,1759,true,
150798,858328,6042,673140,1183,32,451,1183,33,640,1183,true,
444678,850439,6494,707062,1220,36,389,1220,41,408,1220,true,
613256,226012,4537,514090,1302,29,457,1302,27,497,1302,true,
958956,862234,5882,651206,1620,45,356,1620,33,810,1620,true,
332657,460868,3407,393176,906,32,311,906,44,502,906,true,
263491,769670,2936,336281,703,42,302,703,36,378,703,true,
658947,113498,5418,596501,1341,30,234,1341,31,410,1341,true,
977443,26571,4439,486538,1411,43,389,1411,44,621,1411,true,
223234,527014,6337,693308,1011,30,368,1011,38,544,1011,true,
23619,521761,5171,599141,961,32,309,961,31,382,961,true,
884900,136671,2665,314779,1119,36,449,1119,42,594,1119,true,
740102,870045,4124,466291,1322,30,268,1322,28,338,1322,true,
237536,940254,8852,977495,1709,33,414,1709,33,542,1709,true,
304892,803313,8486,935822,1540,43,470,1540,30,698,1540,true,
787350,571776,4920,548834,1286,50,435,1286,25,406,1286,true,
822559,763646,2489,297532,1200,40,273,1200,29,386,1200,true,
148752,974381,8485,960401,1529,40,482,1529,33,671,1529,true,
532082,45686,4091,460388,1001,40,432,1001,36,582,1001,true,
304858,984050,8979,999205,1792,33,472,1792,32,624,1792,true,
10987,937801,7743,879149,1150,33,421,1150,30,486,1150,true,
248613,713653,8220,941678,1409,35,332,1409,32,528,1409,true,
932084,991918,4319,493831,1347,34,307,1347,35,547,1347,true,
340101,784226,5100,577551,958,44,383,958,29,529,958,true,
57084,380258,4288,490717,938,32,368,938,29,501,938,true,
185379,205398,5827,650314,904,33,393,904,37,491,904,true,
237131,674911,8164,921635,1367,33,396,1367,38,470,1367,true,
823057,507024,4075,459126,1183,43,329,1183,38,447,1183,true,
405390,980337,6637,724831,1182,36,270,1182,31,419,1182,true,
298541,208741,1817,203692,653,41,367,653,34,462,653,true,
930451,536552,7148,702659,1874,45,403,1874,35,494,1874,true,
842543,741451,907,93934,618,40,131,618,32,221,618,true,
83065,470671,5576,555485,868,43,498,868,36,592,868,true,
653910,683499,3567,385604,1018,30,267,1018,33,446,1018,true,
481110,11932,4181,441641,970,30,403,970,41,362,970,true,
212481,969056,8673,915109,1328,41,332,1328,33,507,1328,true,
901929,191868,6824,732192,1616,44,421,1616,34,641,1616,true,
800840,336685,4110,449350,1339,33,356,1339,32,605,1339,true,
316808,270754,4248,464728,855,50,357,855,35,441,855,true,
284517,635978,1800,208107,581,34,220,581,29,279,581,true,
508066,414545,7553,832184,1408,43,584,1408,37,529,1408,true,
673588,778482,7638,836839,1850,43,427,1850,36,635,1850,true,
477310,746269,2650,294133,902,45,219,902,34,409,902,true,
994024,939276,8680,957724,2250,31,368,2250,41,485,2250,true,
91520,82440,2638,302276,682,37,333,682,39,375,682,true,
566034,910842,482,58039,540,30,76,540,37,160,540,true,
531236,154607,3862,449636,1176,34,368,1176,36,562,1176,true,
717115,739800,7976,889758,1963,47,431,1963,45,716,1963,true,
921364,742677,8739,955999,2166,31,411,2166,34,499,2166,true,
989900,467273,563,71537,633,28,240,633,37,295,633,true,
537061,823836,8832,970832,1931,32,456,1931,45,619,1931,true,
146036,741577,6684,762777,1098,29,430,1098,41,642,1098,true,
792074,485350,675,84527,627,37,128,627,32,261,627,true,
192104,146729,497,61230,256,39,199,256,32,154,256,true,
847775,784445,1631,193308,880,36,249,880,30,322,880,true,
273528,840360,4800,550300,911,31,328,911,34,450,911,true,
59599,918023,8348,951961,1434,33,419,1434,32,544,1434,true,
233543,619327,3984,450171,765,38,284,765,38,395,765,true,
547873,57895,2708,323753,1019,42,384,1019,34,630,1019,true,
667202,460619,5778,659958,1621,33,462,1621,32,492,1621,true,
355790,179249,3446,403422,1085,37,324,1085,44,555,1085,true,
2330,14009,213,28317,264,28,161,264,27,167,264,true,
948789,624287,6612,764126,1975,34,377,1975,31,538,1975,true,
366734,687807,6211,708777,1104,32,401,1104,34,503,1104,true,
759272,475123,326,39074,417,34,108,417,35,135,417,true,
174664,617424,1142,137248,587,42,158,587,33,193,587,true,
563423,338097,5175,523823,1184,73,378,1184,132,518,1184,true,
642358,851119,486,54008,392,54,144,392,34,210,392,true,
651810,52906,2489,281456,976,41,313,976,29,439,976,true,
459231,195899,130,15190,359,45,90,359,36,139,359,true,
418182,781912,5124,570085,1033,29,373,1033,28,393,1033,true,
450897,682965,7154,828103,1426,34,422,1426,34,602,1426,true,
845491,188833,5910,669062,1572,32,369,1572,32,448,1572,true,
871178,655165,2050,235851,941,34,234,941,31,390,941,true,
240610,197171,5706,650084,973,37,582,973,34,634,973,true,
140010,451045,3661,426221,748,37,457,748,46,533,748,true,
846486,499948,3845,438584,1257,45,389,1257,34,368,1257,true,
610322,510115,6027,681299,1597,27,471,1597,40,545,1597,true,
553327,416204,167,19045,283,28,121,283,40,151,283,true,
571806,475673,7204,796503,1474,33,340,1474,38,554,1474,true,
338098,595483,7479,831185,1401,31,449,1401,30,392,1401,true,
282943,113518,6021,658257,989,33,415,989,31,473,989,true,
240334,602043,3962,443373,775,30,238,775,28,404,775,true,
164699,447260,5680,645946,1185,38,356,1185,28,581,1185,true,
